Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Strategic Planning,Dy Director SFHQ - Strategic Planning / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Propulsion Systems,Dy Director R&D - Propulsion Systems / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Daedalus
Commander,Tactical Systems,Head of Deptt,Manager,Manager Starbase Support Command Delta / Post 6
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Capability Planning,Head of Deptt,Head of Deptt SS Meridian
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 24
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Nova
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Systems Integration,Dy Director SFHQ - Systems Integration / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 25
Lieutenant,Tactical Systems,Asst Manager Planetary Repair Depot One,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Beta,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha / Post 2
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Asst Manager,Dy Manager,Dy Manager Systems Maintenance Group Sigma / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Nova
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Enlisted Technical School / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Horizon
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ -,Dy Director SFHQ - Fleet Readiness / Post 4
Lieutenant,Engineering,Div Officer,Dy Manager Planetary Repair Depot Two,Dy Manager Planetary Repair Depot Two
Lieutenant Commander,Engineering,Dy Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt USS Prometheus
Commander,Engineering,Head of Deptt,Manager,Manager Starbase Support Command Gamma / Post 10
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Atlantis
Commander,Engineering,Head of Deptt,Dy Director SFHQ -,Dy Director SFHQ - Fleet Readiness / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Titan
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Propulsion Systems,Dy Director R&D - Propulsion Systems / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Meridian
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Alpha,Manager Hull Repair Yard Alpha / Post 7
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt CS Genesis
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Quantum Computing,Dy Director R&D - Quantum Computing / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Horizon
Commander,Engineering,Head of Deptt,Dy Director R&D - Propulsion Systems,Dy Director R&D - Propulsion Systems / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Titan
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Beta / Post 10
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Horizon
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two / Post 10
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Nova
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Prime / Post 11
Lieutenant,Hull Systems,Asst Manager,Staff Officer SFHQ - Doctrine and Development,Staff Officer SFHQ - Doctrine and Development
Lieutenant Commander,Hull Systems,Staff Officer SFHQ - Doctrine and Development,Dy Manager,Dy Manager Starbase Support Command Delta
Commander,Hull Systems,Dy Manager,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One / Post 8
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Daedalus
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 26
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Horizon
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering / Post 19
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Nova
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Systems Design College / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Helios
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Starfleet Hull School / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Aurora
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two / Post 11
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Resolute
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two / Post 12
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Titan
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Hull Integrity,Dy Director R&D - Hull Integrity / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Gateway
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Starfleet Science Academy / Post 6
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt USS Orion
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Sigma / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Atlantis
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex One / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Nova
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Fleet Technical Training Center / Post 5
Lieutenant,Engineering,Div Officer,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt CS Horizon
Commander,Engineering,Head of Deptt,Manager Hull Repair Yard Alpha,Manager Hull Repair Yard Alpha / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Genesis
Commander,Engineering,Head of Deptt,Manager,Manager Starbase Support Command Gamma / Post 11
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Gateway
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering / Post 20
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Systems Maintenance Group Prime / Post 12
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Plasma Systems,Staff Officer R&D - Plasma Systems
Commander,Science,Staff Officer R&D - Plasma Systems,Dy Director R&D - Nanotech Repair,Dy Director R&D - Nanotech Repair / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Daedalus
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex One / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Aegis
Commander,Tactical Systems,Head of Deptt,Dy Director R&D -,Dy Director R&D - Warp Field Dynamics / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Starfleet Engineering Academy / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Valiant
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Tactical AI,Dy Director R&D - Tactical AI / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Titan
Commander,Tactical Systems,Head of Deptt,Manager,Manager Dockyard Complex Two / Post 11
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Daedalus
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Systems Design College / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Horizon
Commander,Engineering,Head of Deptt,Manager,Manager Starbase Support Command Gamma / Post 12
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Titan
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Dean -,Dean - Systems Design College / Post 1
Lieutenant,Hull Systems,Asst Manager Hull Repair Yard Beta,Staff Officer SFHQ - Resource Management,Staff Officer SFHQ - Resource Management
Lieutenant Commander,Hull Systems,Staff Officer SFHQ - Resource Management,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Commander,Hull Systems,Dy Manager,Staff Officer,Staff Officer Field HQ - Hull Systems
Captain,Hull Systems,Staff Officer,General Manager,General Manager Dockyard Complex Two / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt CS Atlantis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Fleet Maintenance Wing Alpha
Captain,Tactical Systems,Manager,Director Planetary Repair Depot Two,Director Planetary Repair Depot Two / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Systems Maintenance Group Sigma
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt USS Prometheus
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two
Captain,Engineering,Manager Planetary Repair Depot Two,Dean -,Dean - Warp Technology Institute
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Resolute
Commander,Engineering,Head of Deptt,Dy Director R&D - Deflector Shields,Dy Director R&D - Deflector Shields
Captain,Engineering,Dy Director R&D - Deflector Shields,Director R&D - Energy Systems,Director R&D - Energy Systems / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Atlantis
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Advanced Systems College
Captain,Tactical Systems,Training Officer -,General Manager,General Manager Starbase Support Command Delta / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Meridian
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Enlisted Technical School
Captain,Tactical Systems,Training Officer -,General Manager Hull Repair Yard Alpha,General Manager Hull Repair Yard Alpha / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Prometheus
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Dean -,Dean - Enlisted Technical School / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt ISS Pioneer
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex Two
Captain,Engineering,Manager,Director,Director Dockyard Complex Two / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta
Lieutenant Commander,Engineering,Dy Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt RS Nova
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One
Captain,Engineering,Manager Planetary Repair Depot One,Dean -,Dean - Starfleet Science Academy / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Horizon
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Propulsion Systems,Dy Director R&D - Propulsion Systems
Captain,Tactical Systems,Dy Director R&D - Propulsion Systems,General Manager,General Manager Fleet Maintenance Wing Beta
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Titan
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Alpha,Manager Hull Repair Yard Alpha
Captain,Tactical Systems,Manager Hull Repair Yard Alpha,Director,Director Starbase Support Command Gamma / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Horizon
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Starfleet Science Academy
Captain,Engineering,Training Officer -,General Manager,General Manager Fleet Maintenance Wing Alpha / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex Two
Captain,Engineering,Manager,Director SFHQ - Operations Analysis,Director SFHQ - Operations Analysis / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Director SFHQ - Strategic Planning,Director SFHQ - Strategic Planning / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt CS Nova
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Operations Analysis,Dy Director SFHQ - Operations Analysis
Captain,Tactical Systems,Dy Director SFHQ - Operations Analysis,Director SFHQ - Capability Planning,Director SFHQ - Capability Planning / Post 1
Lieutenant Commander,Science,Staff Officer R&D - Structural Materials,Training Officer -,Training Officer - Warp Technology Institute
Commander,Science,Training Officer -,Training Officer -,Training Officer - Enlisted Technical School
Captain,Science,Training Officer -,Director R&D - Plasma Systems,Director R&D - Plasma Systems / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Horizon
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,General Manager,General Manager Systems Maintenance Group Prime / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Hermes
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Operations Analysis,Dy Director SFHQ - Operations Analysis
Captain,Engineering,Dy Director SFHQ - Operations Analysis,Director,Director Systems Maintenance Group Sigma / Post 2
Lieutenant,Tactical Systems,Div Officer,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Dy Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt ISS Atlantis
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Energy Systems,Dy Director R&D - Energy Systems
Captain,Tactical Systems,Dy Director R&D - Energy Systems,General Manager,General Manager Dockyard Complex One / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Horizon
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ -,Dy Director SFHQ - Fleet Readiness
Captain,Tactical Systems,Dy Director SFHQ -,Director SFHQ - Technical Policy,Director SFHQ - Technical Policy / Post 1
Lieutenant,Hull Systems,Asst Manager Hull Repair Yard Alpha,Staff Officer R&D - Quantum Computing,Staff Officer R&D - Quantum Computing
Lieutenant Commander,Hull Systems,Staff Officer R&D - Quantum Computing,Training Officer -,Training Officer - Systems Design College
Commander,Hull Systems,Training Officer -,Training Officer -,Training Officer - Advanced Systems College
Captain,Hull Systems,Training Officer -,Director SFHQ - Resource Management,Director SFHQ - Resource Management / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha
Lieutenant Commander,Engineering,Dy Manager Hull Repair Yard Alpha,Head of Deptt,Head of Deptt USS Defiant
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Starfleet Hull School
Captain,Engineering,Training Officer -,Director R&D - Propulsion Systems,Director R&D - Propulsion Systems / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Atlantis
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Director R&D - Structural Materials,Director R&D - Structural Materials
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Intrepid
Commander,Engineering,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta
Captain,Engineering,Manager Hull Repair Yard Beta,Director SFHQ - Technical Policy,Director SFHQ - Technical Policy / Post 2
Lieutenant,Hull Systems,Staff Officer SFHQ - Doctrine and Development,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Hull Systems,Asst Manager Hull Repair Yard Alpha,Staff Officer R&D - Structural Materials,Staff Officer R&D - Structural Materials
Commander,Hull Systems,Staff Officer R&D - Structural Materials,Training Officer -,Training Officer - Starfleet Science Academy
Captain,Hull Systems,Training Officer -,Snr Staff Officer,Snr Staff Officer Field HQ - Hull Systems
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Atlantis
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Operations Analysis,Dy Director SFHQ - Operations Analysis
Captain,Engineering,Dy Director SFHQ - Operations Analysis,Director R&D - Sensors and Communications,Director R&D - Sensors and Communications / Post 1
Lieutenant Commander,Science,Staff Officer R&D -,Training Officer -,Training Officer - Starfleet Hull School
Commander,Science,Training Officer -,Dy Director R&D - Deflector Shields,Dy Director R&D - Deflector Shields
Captain,Science,Dy Director R&D - Deflector Shields,Snr Staff Officer,Snr Staff Officer Field HQ - Science
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Gateway
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,General Manager Planetary Repair Depot Two,General Manager Planetary Repair Depot Two / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Pioneer
Commander,Engineering,Head of Deptt,Dy Director R&D - Quantum Computing,Dy Director R&D - Quantum Computing
Captain,Engineering,Dy Director R&D - Quantum Computing,Director,Director Dockyard Complex One / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Systems Maintenance Group Prime
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Meridian
Commander,Engineering,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta
Captain,Engineering,Manager Hull Repair Yard Beta,General Manager,General Manager Dockyard Complex One / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex Two
Captain,Engineering,Manager,General Manager,General Manager Starbase Support Command Gamma / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Helios
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems
Captain,Tactical Systems,Staff Officer,Dean -,Dean - Fleet Technical Training Center / Post 2
Lieutenant,Engineering,Div Officer,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta
Lieutenant Commander,Engineering,Dy Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt ISS Titan
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Doctrine and Development,Dy Director SFHQ - Doctrine and Development
Captain,Engineering,Dy Director SFHQ - Doctrine and Development,Director SFHQ -,Director SFHQ - Fleet Readiness / Post 2
Lieutenant,Engineering,Div Officer,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt ISS Pioneer
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex One
Captain,Engineering,Manager,General Manager,General Manager Starbase Support Command Gamma / Post 2
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Systems Integration,Staff Officer SFHQ - Systems Integration
Lieutenant Commander,Engineering,Staff Officer SFHQ - Systems Integration,Head of Deptt,Head of Deptt SS Daedalus
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Director,Director Systems Maintenance Group Sigma / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Prometheus
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Nanotech Repair,Dy Director R&D - Nanotech Repair
Captain,Tactical Systems,Dy Director R&D - Nanotech Repair,Director R&D - Quantum Computing,Director R&D - Quantum Computing / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Hermes
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Director,Director Systems Maintenance Group Sigma / Post 4
Lieutenant,Engineering,Asst Manager,Asst Manager,Asst Manager Systems Maintenance Group Prime
Lieutenant Commander,Engineering,Asst Manager,Dy Manager,Dy Manager Dockyard Complex One / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Titan
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Director R&D - Stealth Systems,Director R&D - Stealth Systems / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Genesis
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Hull Integrity,Dy Director R&D - Hull Integrity
Captain,Tactical Systems,Dy Director R&D - Hull Integrity,Director,Director Dockyard Complex Two / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Orion
Commander,Tactical Systems,Head of Deptt,Dy Director R&D -,Dy Director R&D - Warp Field Dynamics
Captain,Tactical Systems,Dy Director R&D -,Director SFHQ - Capability Planning,Director SFHQ - Capability Planning / Post 2
Lieutenant,Tactical Systems,Div Officer,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two
